,Genre,Tags,Positive Reviews,Negative Reviews,Copies Sold,Positive Percentage
314,Racing,Simulation,119,43,200000-500000,0.7345679012345679
315,Action,Action,43,14,20000-50000,0.7543859649122807
316,Action,Indie,43,14,20000-50000,0.7543859649122807
317,Action,Puzzle,43,14,20000-50000,0.7543859649122807
318,Indie,Action,43,14,20000-50000,0.7543859649122807
319,Indie,Indie,43,14,20000-50000,0.7543859649122807
320,Indie,Puzzle,43,14,20000-50000,0.7543859649122807
321,RPG,RPG,57,36,20000-50000,0.6129032258064516
322,Simulation,Simulation,77,41,20000-50000,0.652542372881356
323,Simulation,Strategy,77,41,20000-50000,0.652542372881356
324,Strategy,Simulation,77,41,20000-50000,0.652542372881356
325,Strategy,Strategy,77,41,20000-50000,0.652542372881356
326,RPG,RPG,31,17,20000-50000,0.6458333333333334
327,Action,Open World,11039,570,1000000-2000000,0.9509001636661211
328,RPG,Open World,11039,570,1000000-2000000,0.9509001636661211
329,Action,Strategy,106,60,100000-200000,0.6385542168674698
330,Action,Action,106,60,100000-200000,0.6385542168674698
331,Strategy,Strategy,106,60,100000-200000,0.6385542168674698
332,Strategy,Action,106,60,100000-200000,0.6385542168674698
333,Action,Strategy,76,38,100000-200000,0.6666666666666666
334,Action,Action,76,38,100000-200000,0.6666666666666666
335,Strategy,Strategy,76,38,100000-200000,0.6666666666666666
336,Strategy,Action,76,38,100000-200000,0.6666666666666666
337,Violent,Strategy,4772,320,2000000-5000000,0.9371563236449332
338,Violent,RTS,4772,320,2000000-5000000,0.9371563236449332
339,Action,Strategy,4772,320,2000000-5000000,0.9371563236449332
340,Action,RTS,4772,320,2000000-5000000,0.9371563236449332
341,Strategy,Strategy,4772,320,2000000-5000000,0.9371563236449332
342,Strategy,RTS,4772,320,2000000-5000000,0.9371563236449332
343,Strategy,Strategy,3485,206,1000000-2000000,0.9441885667840694
344,Strategy,RTS,3485,206,1000000-2000000,0.9441885667840694
345,Strategy,Strategy,2849,133,1000000-2000000,0.9553990610328639
346,Strategy,RTS,2849,133,1000000-2000000,0.9553990610328639
347,Strategy,Strategy,10270,605,2000000-5000000,0.944367816091954
348,Action,Horror,1243,221,200000-500000,0.8490437158469946
349,Action,Action,1243,221,200000-500000,0.8490437158469946
350,Strategy,Strategy,7806,562,1000000-2000000,0.9328393881453155
351,Strategy,Strategy,331,131,500000-1000000,0.7164502164502164
352,Strategy,RTS,331,131,500000-1000000,0.7164502164502164
353,Strategy,Strategy,585,30,200000-500000,0.9512195121951219
354,Strategy,Strategy,259,46,50000-100000,0.8491803278688524
355,Strategy,RTS,259,46,50000-100000,0.8491803278688524
356,Strategy,RPG,259,46,50000-100000,0.8491803278688524
357,Strategy,Strategy,1081,143,100000-200000,0.8831699346405228
358,Strategy,RTS,1081,143,100000-200000,0.8831699346405228
359,Strategy,Strategy,102,22,100000-200000,0.8225806451612904
360,Strategy,RTS,102,22,100000-200000,0.8225806451612904
361,Strategy,Strategy,170,66,100000-200000,0.7203389830508474
362,Strategy,RTS,170,66,100000-200000,0.7203389830508474
363,Strategy,Strategy,246,138,100000-200000,0.640625
364,Strategy,RTS,246,138,100000-200000,0.640625
365,Action,Multiplayer,8372,1498,1000000-2000000,0.8482269503546099
366,Action,Strategy,8372,1498,1000000-2000000,0.8482269503546099
367,Action,FPS,8372,1498,1000000-2000000,0.8482269503546099
368,Indie,Multiplayer,8372,1498,1000000-2000000,0.8482269503546099
369,Indie,Strategy,8372,1498,1000000-2000000,0.8482269503546099
370,Indie,FPS,8372,1498,1000000-2000000,0.8482269503546099
371,Strategy,Multiplayer,8372,1498,1000000-2000000,0.8482269503546099
372,Strategy,Strategy,8372,1498,1000000-2000000,0.8482269503546099
373,Strategy,FPS,8372,1498,1000000-2000000,0.8482269503546099
374,Action,Action,6392,379,1000000-2000000,0.9440259932063211
375,Action,FPS,6392,379,1000000-2000000,0.9440259932063211
376,Adventure,Adventure,597,31,100000-200000,0.9506369426751592
377,Adventure,Point & Click,597,31,100000-200000,0.9506369426751592
378,Action,Action,5684,330,1000000-2000000,0.9451280345859661
379,Action,Action,2020,219,1000000-2000000,0.9021884769986601
380,Adventure,Adventure,575,55,100000-200000,0.9126984126984127
381,Adventure,Point & Click,575,55,100000-200000,0.9126984126984127
382,Action,Action,29149,2425,2000000-5000000,0.9231963007537848
383,Action,Multiplayer,29149,2425,2000000-5000000,0.9231963007537848
384,Action,Simulation,272,38,20000-50000,0.8774193548387097
385,Action,Strategy,272,38,20000-50000,0.8774193548387097
386,Action,Action,272,38,20000-50000,0.8774193548387097
387,Adventure,Simulation,272,38,20000-50000,0.8774193548387097
388,Adventure,Strategy,272,38,20000-50000,0.8774193548387097
389,Adventure,Action,272,38,20000-50000,0.8774193548387097
390,Racing,Simulation,272,38,20000-50000,0.8774193548387097
391,Racing,Strategy,272,38,20000-50000,0.8774193548387097
392,Racing,Action,272,38,20000-50000,0.8774193548387097
